FID,r__2004
0,652.258728
1,456.5680542
2,452.1010742
3,421.4613647
4,416.786377
5,622.4248047
6,752.7385254
7,391.8021851
8,623.8937378
9,491.7177124
10,388.3945923
11,441.1784363
12,394.2944336
13,286.9484558
14,362.1877747
15,512.2675781
16,313.1549377
17,359.735321
18,459.0517883
19,312.1758423
20,274.5739746
21,305.3161011
22,300.0466614
23,636.7533569
24,375.5785217
25,288.2038269
26,361.2201538
27,352.6560059
28,257.6724243
29,253.3256836
30,338.3692627
31,305.2417297
32,248.8710938
33,249.5911102
34,227.6873016
35,299.8362427
36,486.6343384
37,391.8963013
38,312.8283997
39,277.3084106
40,271.8737793
41,262.9565735
42,248.665451
43,223.2060394
44,228.9313965
45,260.6923523
46,270.2476807
47,244.4088593
48,247.1994019
49,213.2600861
50,287.0393677
51,521.0175171
52,746.503479
53,615.4832764
54,468.2122498
55,466.0950317
56,363.0396118
57,282.6789551
58,255.2658997
59,264.4979553
60,232.1260834
61,195.6668701
62,210.4797821
63,237.1267548
64,247.2236633
65,305.4581909
66,243.5857697
67,244.0425415
68,220.4103241
69,311.3702087
70,297.7589111
71,292.6931763
72,309.188385
73,390.23349
74,407.0823975
75,344.7125854
76,502.4357605
77,531.3292236
78,422.2801208
79,323.2693176
80,280.8413391
81,290.850708
82,283.4910889
83,270.5148621
84,236.640213
85,191.9575958
86,199.124115
87,225.1280365
88,230.7453766
89,252.5269775
90,261.4129028
91,236.9716644
92,239.7973785
93,195.0802612
94,270.6659851
95,482.3433533
96,386.8090515
97,339.8753052
98,352.9036255
99,379.8853149
100,306.6005859
101,312.582428
102,332.9478149
103,374.2992554
104,370.7030945
105,327.0499573
106,250.2228241
107,282.4114685
108,279.9291992
109,281.3995056
110,246.2487183
111,195.5962524
112,209.9880219
113,211.6893921
114,203.9764709
115,227.4990845
116,236.6199799
117,251.3466187
118,230.2106323
119,220.8253632
120,290.1010132
121,206.3034058
122,178.962265
123,131.7517395
124,122.9692917
125,481.5348206
126,361.1266785
127,337.4430237
128,318.7835083
129,391.8901367
130,396.7673035
131,318.8529968
132,320.4050598
133,329.1834412
134,361.3100891
135,484.0776062
136,488.4058533
137,401.6900024
138,276.9211121
139,354.1850891
140,401.4275818
141,305.3005981
142,254.5341339
143,213.1000671
144,203.2791748
145,209.4936981
146,233.124527
147,227.0134888
148,226.3115387
149,231.853653
150,241.0974884
151,239.346405
152,338.9411926
153,341.1470032
154,337.9916382
155,288.4854431
156,244.6747742
157,485.1776733
158,389.3728027
159,328.8152771
160,315.3534851
161,328.0582886
162,377.3226624
163,382.4909973
164,463.8861389
165,377.8783264
166,368.0342712
167,442.6508179
168,689.6297607
169,854.0753174
170,475.2248535
171,281.2612
172,303.6249695
173,395.9543762
174,309.9249573
175,236.4496918
176,204.7975311
177,211.9628601
178,215.8202362
179,296.3188171
180,270.1282654
181,216.9142151
182,275.0283203
183,265.8934326
184,364.2192993
185,388.1461792
186,364.2865906
187,468.7813721
188,393.2929688
189,271.7540283
190,300.0936584
191,493.9892578
192,402.2770691
193,346.5522156
194,317.8212891
