FID,r__2014
0,666.089416503906250
1,485.037872314453125
2,513.344604492187500
3,460.595367431640625
4,442.988067626953125
5,524.999511718750000
6,697.705505371093750
7,408.266632080078125
8,691.626098632812500
9,528.173828125000000
10,481.179626464843750
11,485.394561767578125
12,425.415130615234375
13,374.436187744140625
14,480.922698974609375
15,668.485961914062500
16,401.843597412109375
17,441.690093994140625
18,592.806945800781250
19,421.836364746093750
20,346.191650390625000
21,402.834869384765625
22,332.554412841796875
23,797.242797851562500
24,451.732482910156250
25,461.526611328125000
26,493.949768066406250
27,424.375610351562500
28,301.568725585937500
29,331.502227783203125
30,473.577362060546875
31,411.801940917968750
32,310.933502197265625
33,306.740966796875000
34,256.771972656250000
35,295.051879882812500
36,524.508178710937500
37,412.198791503906250
38,329.872802734375000
39,298.845611572265625
40,306.334350585937500
41,355.472351074218750
42,304.651550292968750
43,293.681182861328125
44,304.070465087890625
45,316.280914306640625
46,322.910430908203125
47,315.733367919921875
48,294.746215820312500
49,232.930145263671875
50,285.590515136718750
51,660.386230468750000
52,673.698547363281250
53,621.054504394531250
54,570.435424804687500
55,525.559875488281250
56,374.796997070312500
57,298.970275878906250
58,289.952880859375000
59,352.155914306640625
60,298.774841308593750
61,291.484863281250000
62,289.916412353515625
63,300.387756347656250
64,335.880981445312500
65,443.684173583984375
66,361.599182128906250
67,296.059234619140625
68,246.430740356445312
69,344.809082031250000
70,335.791351318359375
71,398.907714843750000
72,391.020477294921875
73,434.535186767578125
74,524.587829589843750
75,399.102172851562500
76,510.003417968750000
77,578.794189453125000
78,516.871032714843750
79,407.439971923828125
80,344.550750732421875
81,349.323211669921875
82,330.885955810546875
83,328.733886718750000
84,309.232574462890625
85,304.643127441406250
86,301.484039306640625
87,301.020996093750000
88,313.818084716796875
89,369.680877685546875
90,435.861022949218750
91,370.712402343750000
92,313.257904052734375
93,235.495498657226562
94,291.560272216796875
95,535.944702148437500
96,429.788299560546875
97,387.074005126953125
98,398.688354492187500
99,536.239013671875000
100,339.925354003906250
101,345.775421142578125
102,448.891052246093750
103,535.419982910156250
104,515.009033203125000
105,491.160430908203125
106,397.445739746093750
107,395.615509033203125
108,358.848937988281250
109,363.618377685546875
110,344.087524414062500
111,356.888275146484375
112,401.095306396484375
113,316.917755126953125
114,316.282073974609375
115,326.083648681640625
116,363.086029052734375
117,418.328735351562500
118,337.032012939453125
119,296.061004638671875
120,337.519287109375000
121,226.789718627929688
122,224.182571411132812
123,185.794357299804688
124,161.797897338867188
125,517.771057128906250
126,407.149810791015625
127,378.190124511718750
128,365.122650146484375
129,480.572692871093750
130,620.022583007812500
131,369.959045410156250
132,341.220886230468750
133,442.562561035156250
134,492.433654785156250
135,791.445983886718750
136,856.999511718750000
137,616.346374511718750
138,405.792388916015625
139,494.658660888671875
140,460.109252929687500
141,339.353424072265625
142,289.094940185546875
143,352.358337402343750
144,450.904510498046875
145,361.975677490234375
146,386.237701416015625
147,341.302429199218750
148,335.575683593750000
149,336.237792968750000
150,426.219421386718750
151,348.122497558593750
152,489.652282714843750
153,436.685272216796875
154,424.973571777343750
155,377.717041015625000
156,319.623474121093750
157,628.137268066406250
158,423.237640380859375
159,374.255645751953125
160,358.881622314453125
161,371.053649902343750
162,410.013854980468750
163,420.891174316406250
164,517.389282226562500
165,412.210754394531250
166,466.071044921875000
167,685.137756347656250
168,1357.238281250000000
169,1784.602783199999976
170,1104.445556639999950
171,537.601501464843750
172,480.435363769531250
173,487.139343261718750
174,354.524993896484375
175,286.284210205078125
176,330.290313720703125
177,390.341522216796875
178,342.942810058593750
179,456.069702148437500
180,401.368408203125000
181,400.520812988281250
182,372.211364746093750
183,367.571685791015625
184,560.643188476562500
185,636.553344726562500
186,477.594024658203125
187,534.250854492187500
188,495.768127441406250
189,354.038696289062500
190,370.165069580078125
191,646.655578613281250
192,671.342224121093750
193,408.446319580078125
194,363.484436035156250
195,354.001770019531250
196,370.931365966796875
197,389.425659179687500
198,379.806945800781250
199,577.282653808593750
200,475.292480468750000
201,519.124450683593750
202,695.676269531250000
203,1264.405029300000024
204,1527.440551760000062
205,1015.182678219999957
206,651.895996093750000
207,529.324768066406250
208,390.559509277343750
209,333.425048828125000
210,362.240234375000000
211,356.455566406250000
212,392.738159179687500
213,423.957611083984375
214,434.157531738281250
215,352.714508056640625
216,332.065948486328125
217,375.643524169921875
218,421.671661376953125
219,493.215698242187500
220,439.094726562500000
221,391.968566894531250
222,396.530609130859375
223,383.765716552734375
224,379.846801757812500
225,391.486114501953125
226,430.654785156250000
227,481.884307861328125
228,386.141510009765625
229,366.702972412109375
230,462.169738769531250
231,481.125152587890625
232,485.009216308593750
233,485.984619140625000
234,505.839630126953125
235,732.834106445312500
236,1109.882202150000012
237,1808.981567379999888
238,1261.161499020000065
239,980.859741210937500
240,1131.543090820000089
241,876.687072753906250
242,529.863342285156250
243,460.298614501953125
244,373.311248779296875
245,425.416656494140625
246,404.990386962890625
247,506.229064941406250
248,408.651123046875000
249,331.419494628906250
250,419.275665283203125
251,411.773956298828125
252,322.368347167968750
253,447.439605712890625
254,448.016906738281250
255,471.441864013671875
256,383.757995605468750
257,375.931976318359375
258,381.052185058593750
259,413.058685302734375
260,412.813262939453125
261,365.020355224609375
262,455.653289794921875
263,417.796081542968750
264,377.867004394531250
265,519.199340820312500
266,600.320922851562500
267,606.438232421875000
268,760.974487304687500
269,929.747070312500000
270,1392.463378910000074
271,2399.911621090000153
272,2655.116210940000201
273,1193.620117189999974
274,1191.700927730000103
275,1544.893554689999974
276,1045.660522460000038
277,664.492797851562500
278,613.904907226562500
279,502.678558349609375
280,566.653015136718750
281,492.780670166015625
282,455.191284179687500
283,355.493927001953125
284,326.232391357421875
285,404.579345703125000
286,334.754211425781250
287,337.281463623046875
288,495.163238525390625
289,521.620422363281250
290,578.569885253906250
291,425.428253173828125
292,400.808685302734375
293,396.951934814453125
294,475.534729003906250
295,529.652221679687500
296,542.147399902343750
297,587.516845703125000
298,748.927978515625000
299,421.811828613281250
300,467.085815429687500
301,515.982238769531250
302,672.574279785156250
303,1608.453002929999911
304,1836.489501949999976
305,3218.142822270000124
306,3072.046142579999923
307,2146.156250000000000
308,2196.573974609999823
309,2168.136230470000100
310,1208.130981450000036
311,920.445007324218750
312,769.332092285156250
313,1003.647583009999948
314,1057.005981450000036
315,896.014648437500000
316,548.981872558593750
317,408.359130859375000
318,378.618988037109375
319,313.927490234375000
320,316.741577148437500
321,294.578765869140625
322,343.298309326171875
323,391.857391357421875
324,386.523864746093750
325,379.066223144531250
326,391.955780029296875
327,448.872680664062500
328,444.434539794921875
329,399.362426757812500
330,391.902770996093750
331,1012.848815919999993
332,595.736511230468750
333,829.014465332031250
334,549.653625488281250
335,618.963195800781250
336,566.472351074218750
337,679.195434570312500
338,1967.964965820000089
339,5039.620117190000201
340,4374.025878909999847
341,2922.386474609999823
342,2958.323730470000100
343,3793.124267579999923
344,2836.576904300000024
345,1446.227172849999988
346,1221.397949220000100
347,1141.354614260000062
348,1498.400878910000074
349,2081.141845699999976
350,1230.500488279999900
351,639.080261230468750
352,468.278320312500000
353,411.826293945312500
354,380.115234375000000
355,332.629028320312500
356,300.346740722656250
357,356.117980957031250
358,340.515228271484375
359,309.766967773437500
360,311.921813964843750
361,341.029937744140625
362,362.080932617187500
363,354.991882324218750
364,355.659790039062500
365,352.712188720703125
366,527.731567382812500
367,821.155639648437500
368,569.400085449218750
369,581.870361328125000
370,593.790100097656250
371,568.525268554687500
372,709.670776367187500
373,2263.776367190000201
374,5668.634765619999598
375,4055.140869140000177
376,5810.780761719999646
377,6655.772949219999646
378,4731.247558590000153
379,4245.143066409999847
380,3484.155761720000100
381,2277.412597659999847
382,2760.495605470000100
383,2121.463378909999847
384,1765.093017579999923
385,1198.186645510000062
386,683.639831542968750
387,564.631225585937500
388,529.908081054687500
389,526.661987304687500
390,437.069763183593750
391,352.895812988281250
392,395.041748046875000
393,359.822875976562500
394,315.154235839843750
395,327.125671386718750
396,370.174926757812500
397,407.839904785156250
398,324.615081787109375
399,371.197113037109375
400,335.805633544921875
401,379.932861328125000
402,717.179443359375000
403,621.950683593750000
404,748.243286132812500
405,793.627258300781250
406,685.857910156250000
407,879.963928222656250
408,2620.280273440000201
409,7975.600585940000201
410,6096.250976559999799
411,7022.129394530000354
412,7275.995117190000201
413,4484.684082030000354
414,3558.862548829999923
415,4316.881835940000201
416,4226.492187500000000
417,4398.129394530000354
418,2339.373535159999847
419,2039.364868160000015
420,2234.519531250000000
421,1314.578979489999938
422,853.236999511718750
423,695.574035644531250
424,491.826080322265625
425,514.988525390625000
426,381.838867187500000
427,352.266693115234375
428,369.680572509765625
429,326.916290283203125
430,406.067901611328125
431,382.692291259765625
432,325.685241699218750
433,289.949737548828125
434,293.254272460937500
435,307.517486572265625
436,404.307983398437500
437,346.365386962890625
438,701.182189941406250
439,761.831604003906250
440,764.903259277343750
441,868.810241699218750
442,797.018859863281250
443,1099.938598629999888
444,2527.560546879999947
445,9026.118164060000709
446,7333.275390619999598
447,7219.632812500000000
448,6015.607421880000402
449,5036.794433590000153
450,4035.413818359999823
451,4683.830078119999598
452,5097.341796880000402
453,5086.377441409999847
454,3961.349365229999876
455,3792.530273440000201
456,4460.333984380000402
457,2612.828857420000077
458,1567.568481450000036
459,857.923034667968750
460,606.436096191406250
461,531.234497070312500
462,464.522613525390625
463,383.160522460937500
464,355.930694580078125
465,342.465728759765625
466,511.308959960937500
467,475.907867431640625
468,357.733764648437500
469,296.171630859375000
470,287.718872070312500
471,321.524841308593750
472,353.727081298828125
473,401.515747070312500
474,528.928283691406250
475,797.825134277343750
476,1100.260986329999923
477,1207.281860349999988
478,1426.730102539999962
479,2222.459228520000124
480,5299.468750000000000
481,10365.185546900000190
482,9137.235351560000709
483,8174.352539059999799
484,6830.404785159999847
485,5545.810058590000153
486,5460.446289059999799
487,4565.527343750000000
488,5258.618164059999799
489,4834.300292969999646
490,4948.019531250000000
491,5045.386230469999646
492,4311.627441409999847
493,2781.149414059999799
494,1753.506225589999985
495,972.014953613281250
496,867.327392578125000
497,684.857666015625000
498,575.285461425781250
499,446.400695800781250
500,376.846649169921875
501,341.946624755859375
502,380.673553466796875
503,456.722290039062500
504,438.733978271484375
505,407.908355712890625
506,420.044342041015625
507,453.087066650390625
508,407.735778808593750
509,367.263336181640625
510,839.853637695312500
511,1103.132690429999911
512,2002.692993160000015
513,3063.423339840000153
514,2356.006103520000124
515,3505.698486329999923
516,13572.591796900000190
517,19549.029296900000190
518,5001.810058590000153
519,4911.960449219999646
520,4443.689453119999598
521,4265.438964840000153
522,4030.602783199999976
523,4925.133789059999799
524,5459.964355469999646
525,4972.175781250000000
526,6258.904296880000402
527,4452.513183590000153
528,2049.015625000000000
529,1653.857910160000074
530,1405.371093750000000
531,1435.986083980000103
532,1079.792602539999962
533,558.793579101562500
534,574.223876953125000
535,460.695526123046875
536,391.483947753906250
537,376.900634765625000
538,435.006866455078125
539,679.415710449218750
540,715.288574218750000
541,493.355346679687500
542,456.943389892578125
543,454.053009033203125
544,901.872436523437500
545,899.122436523437500
546,1520.770874020000065
547,2368.971923829999923
548,1334.394531250000000
549,1856.063964839999926
550,10685.410156199999619
551,20186.683593800000381
552,4758.884765619999598
553,3425.839355470000100
554,4410.129394530000354
555,3281.311279300000024
556,3715.005371090000153
557,5926.503906250000000
558,6604.530761719999646
559,5840.235839840000153
560,4751.974121090000153
561,3569.006591800000024
562,2405.886962890000177
563,2073.978027340000153
564,1867.970825200000036
565,2191.630859379999947
566,1153.943969729999935
567,868.393188476562500
568,672.280029296875000
569,531.293029785156250
570,446.325256347656250
571,595.843933105468750
572,1012.369262700000036
573,924.200439453125000
574,822.678039550781250
575,599.446899414062500
576,538.959777832031250
577,372.994049072265625
578,879.778259277343750
579,983.580505371093750
580,1310.550537110000050
581,886.162353515625000
582,1162.038818360000050
583,8033.473632809999799
584,14703.668945299999905
585,4830.770019530000354
586,4370.156738280000354
587,4477.090820309999799
588,4098.315429690000201
589,5028.089355469999646
590,7463.771972659999847
591,5762.305175780000354
592,4293.034667969999646
593,3721.768066409999847
594,3546.336425779999900
595,3412.466796879999947
596,3142.679931640000177
597,2253.035400390000177
598,2236.103515620000053
599,1545.273315429999911
600,1086.314331049999964
601,602.037841796875000
602,612.704284667968750
603,632.045715332031250
604,906.219909667968750
605,1579.041625979999935
606,1256.943115230000103
607,1274.959838870000112
608,616.575317382812500
609,488.602264404296875
610,560.698974609375000
611,766.064453125000000
612,2876.815917970000100
613,10970.978515599999810
614,11626.562500000000000
615,5446.229003909999847
616,6461.182617190000201
617,5044.741699219999646
618,6512.229003909999847
619,6940.706542969999646
620,7354.279296880000402
621,4823.027343750000000
622,4176.798828119999598
623,3803.998046879999947
624,3508.584228520000124
625,2612.444091800000024
626,2727.553955079999923
627,3333.152832029999900
628,3214.333251949999976
629,2630.837646479999876
630,1361.840820310000026
631,577.966552734375000
632,569.448181152343750
633,1030.759399410000015
634,1737.384765620000053
635,1954.990478519999897
636,1156.961914060000026
637,842.610656738281250
638,559.890258789062500
639,462.819396972656250
640,607.876098632812500
641,1049.221435550000024
642,4654.112304690000201
643,8670.137695310000709
644,7542.078613280000354
645,6202.297851559999799
646,6370.714843750000000
647,5564.764648440000201
648,6957.375000000000000
649,7650.793945309999799
650,5790.298828119999598
651,4217.957519530000354
652,3806.496337890000177
653,2978.567626949999976
654,3488.418701170000077
655,1868.532348629999888
656,2238.375976559999799
657,2479.979003909999847
658,2641.982177729999876
659,1915.327026370000112
660,1521.006958010000062
661,1071.326293950000036
662,1210.614379879999888
663,1343.406250000000000
664,2538.162841800000024
665,2716.504150390000177
666,1042.998901370000112
667,596.326843261718750
668,433.299224853515625
669,540.622619628906250
670,492.625885009765625
671,985.428344726562500
672,3024.749023440000201
673,5309.986328119999598
674,5357.101074219999646
675,4365.025390619999598
676,4401.700683590000153
677,4018.376708979999876
678,4995.890625000000000
679,5297.265625000000000
680,2969.442871090000153
681,2388.548828120000053
682,2124.750732420000077
683,2127.310546879999947
684,2330.833251949999976
685,1611.586669920000077
686,1594.729858400000012
687,1270.355346679999911
688,1158.107910160000074
689,1259.784423829999923
690,1586.663452150000012
691,1920.817504879999888
692,1839.532348629999888
693,1523.681152339999926
694,1712.826416019999897
695,1844.097290039999962
696,776.444885253906250
697,664.441467285156250
698,406.266265869140625
699,327.309326171875000
700,410.867492675781250
701,572.029602050781250
702,1833.337768549999964
703,2996.244140620000053
704,3653.728027340000153
705,3710.594238279999900
706,3345.473388670000077
707,2345.821044920000077
708,3422.523681640000177
709,3332.643554690000201
710,1666.622802730000103
711,1649.559082029999900
712,1320.707397460000038
713,805.667419433593750
714,1277.184448239999938
715,1777.085693360000050
716,1176.519409179999911
717,696.279663085937500
718,594.148620605468750
719,709.388061523437500
720,1356.373413089999985
721,1907.147094729999935
722,1468.453002929999911
723,1274.294067379999888
724,1214.630126949999976
725,1194.246826170000077
726,917.292114257812500
727,654.262084960937500
728,401.575897216796875
729,350.955261230468750
730,428.108856201171875
731,1031.976074220000100
732,1382.116577150000012
733,1100.083984379999947
734,1483.541503910000074
735,1596.965332029999900
736,1106.788208010000062
737,2184.783691409999847
738,1664.067749020000065
739,1145.427734379999947
740,1505.083496089999926
741,1270.837280270000065
742,589.977172851562500
743,708.512878417968750
744,996.964294433593750
745,934.536560058593750
746,608.409484863281250
747,379.740020751953125
748,635.942504882812500
749,1103.577758789999962
750,1165.220214839999926
751,873.245910644531250
752,624.747253417968750
753,696.656127929687500
754,1056.127929689999974
755,1325.581298829999923
756,655.062072753906250
757,350.876556396484375
758,544.634155273437500
759,654.914855957031250
760,638.161437988281250
761,543.403930664062500
762,497.331054687500000
763,799.360412597656250
764,838.168090820312500
765,993.374511718750000
766,1065.675537110000050
767,981.868164062500000
768,978.428833007812500
769,884.236022949218750
770,702.891235351562500
771,604.386779785156250
